adjusted_monthly_cost_usd,assumptions,confidence,cpu_avg,cw_metrics,days_old,engine,estimated_monthly_cost_usd,estimated_monthly_savings_usd,estimation_method,evidence,explanation,id,instance_class,instance_type,metric_status,metrics_error,net_in_avg,net_out_avg,reason_codes,recommended_action,recommended_instance_class,region,remediation_commands,request_count_avg,resource_type,severity,size_gb,type,volume_type
,,0.95,2.1,,,,62.4,62.4,,"{""cloudwatch"": {""budget"": {""attempted"": 15, ""remaining"": 3, ""used"": 12}, ""enabled"": true, ""errors"": [], ""lookback_days"": 7, ""metric_status"": null}}",Low CPU and low network usage over the lookback window.,i-0123456789abcdef0,,t3.large,,,420000.0,380000.0,cw_metrics_measured,consider-stopping-or-rightsize,,us-east-1,aws ec2 stop-instances --instance-ids i-0123456789abcdef0,,ec2,critical,,idle_ec2,
,,0.95,,,,,10.0,10.0,,{},"EBS volume (100 GB) unattached for >7 days. Create snapshot for safety, then delete if unused.",vol-0123456789abcdef,,,,,,,heuristic,snapshot-and-delete,,us-east-1,# Create snapshot before deleting:;aws ec2 create-snapshot --volume-id vol-0123456789abcdef --description 'Backup before deletion';# Then delete volume:;aws ec2 delete-volume --volume-id vol-0123456789abcdef,,ebs,high,100,unattached_ebs,gp3
,,0.95,,,,,50.0,50.0,,{},"EBS volume (500 GB) unattached for >7 days. Create snapshot for safety, then delete if unused.",vol-fedcba9876543210,,,,,,,heuristic,snapshot-and-delete,,us-west-2,# Create snapshot before deleting:;aws ec2 create-snapshot --volume-id vol-fedcba9876543210 --description 'Backup before deletion';# Then delete volume:;aws ec2 delete-volume --volume-id vol-fedcba9876543210,,ebs,high,500,unattached_ebs,gp2
,,0.98,,,,,25.0,5.0,,{},gp3 is typically cheaper than gp2 for similar workloads.,vol-1111222233334444,,,,,,,heuristic,migrate-to-gp3,,us-east-1,"# Test in non-prod first, then migrate:;aws ec2 modify-volume --volume-id vol-1111222233334444 --volume-type gp3;# Monitor performance after migration:;aws cloudwatch get-metric-statistics --namespace AWS/EBS --metric-name VolumeReadOps --dimensions Name=VolumeId,Value=vol-1111222233334444 --start-time $(date -u -v-1d '+%Y-%m-%dT%H:%M:%S') --end-time $(date -u '+%Y-%m-%dT%H:%M:%S') --period 300 --statistics Average",,ebs,medium,250,gp2_to_gp3_migration,
,,1.0,,,964,,25.0,25.0,,{},Snapshot is older than the retention window.,snap-old123456789abc,,,,,,,heuristic,delete-snapshot,,us-west-2,aws ec2 delete-snapshot --snapshot-id snap-old123456789abc,,snapshot,medium,,old_snapshot,
,,0.75,,,,,15.0,9.0,,{},Log group retention is set to Never Expire; set retention to reduce storage costs.,/aws/lambda/data-processor,,,,,,,heuristic,set-logs-retention,,us-east-1,,,cloudwatch,medium,,cloudwatch_logs_retention,
,,0.7,,,,,12.0,3.0,,{},Execution time indicates memory may be over-provisioned.,data-transformer,,,,,,,heuristic,reduce-lambda-memory,,us-east-1,,,lambda,low,,overprovisioned_lambda,
,,1.0,,,,,4.0,4.0,,{},Elastic IP is not attached to any instance; AWS charges for unused EIPs.,54.123.45.67,,,,,,,heuristic,release-eip,,us-east-1,aws ec2 release-address --public-ip 54.123.45.67,,eip,medium,,unused_eip,
,,1.0,,,,,4.0,4.0,,{},Elastic IP is not attached to any instance; AWS charges for unused EIPs.,34.210.98.76,,,,,,,heuristic,release-eip,,us-west-2,aws ec2 release-address --public-ip 34.210.98.76,,eip,medium,,unused_eip,
32.85,no data processing included;uptime estimated from CreateTime;regional multiplier applied via pricing tables,0.7,,,,,32.85,0.0,base_hourly+uptime,"{""estimation"": {""adjusted_monthly_cost_usd"": 32.85, ""assumptions"": [""no data processing included"", ""uptime estimated from CreateTime"", ""regional multiplier applied via pricing tables""], ""method"": ""base_hourly+uptime""}}","NAT gateways have hourly + data processing cost; if used primarily for S3, consider an S3 VPC endpoint.",nat-0123456789abcdef,,,,,,,cost_estimated,review-and-consider-vpc-endpoint,,us-east-1,,,nat,low,,nat_gateway,
,,0.9,,,,,25.0,25.0,,"{""cloudwatch"": {""budget"": {""attempted"": 15, ""remaining"": 3, ""used"": 12}, ""enabled"": true, ""errors"": [], ""lookback_days"": 7, ""metric_status"": null}}",Low request count over the lookback window.,my-alb-prod,,,,,,,cw_metrics_measured,review-and-delete-if-unused,,us-east-1,,3.0,elb,high,,idle_elb,
